"ind_ID";"ind_gender";"ind_age";"ind_edu";"ind_happy";"ind_atwork";"ind_income";"hh_pos";"hh_nadult";"hh_nchild";"hh_income";"health_fys";"health_emo";"leis_time"
25301;2;53;2;88;1;1800;1;2;0;1800;81;88;15
25305;1;26;2;64;1;1500;1;1;0;1500;100;82;41
25307;2;57;2;90;1;1700;2;2;0;1700;100;87;25
25310;2;66;3;77;0;1450;1;1;0;1450;100;87;40
25407;2;49;3;77;1;3000;1;1;1;3114;100;85;10
25410;2;41;3;77;1;1850;2;2;2;2179;100;80;21
25412;2;78;3;77;0;2150;1;1;0;3150;77;60;14
25413;2;55;2;68;1;2250;1;1;0;2250;90;85;14
25501;2;52;2;55;1;1750;1;2;0;1868;100;78;25
25502;1;50;3;67;1;2500;2;2;0;5300;8;37;30
25503;2;54;3;66;1;1490;1;2;1;1954;8;58;20
25504;1;53;2;74;1;1900;1;1;0;3720;73;77;30
25505;2;57;2;62;1;2100;1;3;0;2218;100;73;20
25506;1;34;3;72;1;1700;2;2;2;3473;97;82;14
25509;1;54;1;73;1;1100;1;1;0;1100;100;80;30
25510;2;36;3;73;1;1450;2;2;2;3283;90;72;15
25511;2;60;3;78;0;1980;2;2;0;4480;86;83;42
25512;2;54;1;70;1;1400;2;2;0;1400;97;73;30
25513;2;72;1;78;0;1100;2;2;0;2850;100;83;35
25602;1;24;2;72;1;2200;2;2;0;4000;39;83;20
25604;2;74;1;32;0;1400;1;1;0;1400;24;15;35
25607;1;71;2;74;1;8100;1;1;0;8100;100;68;16
25609;2;45;2;92;1;1150;2;4;3;3229;100;85;3
25612;2;61;1;65;0;1300;2;2;0;1300;69;88;21
25613;2;93;1;68;0;1300;1;1;0;1300;85;85;28
25704;2;64;3;90;1;1850;2;2;0;3450;73;73;10
25707;2;65;3;77;0;1150;2;2;0;3350;69;90;30
25710;1;41;1;54;1;1400;2;2;2;2292;93;70;25
25801;2;71;1;53;0;1366;1;1;0;1366;48;73;38
25805;2;43;2;73;1;2065;2;3;1;6055;97;73;7
25903;2;47;3;72;1;3150;1;2;0;3268;90;88;25
25907;1;82;1;79;0;1400;2;2;0;1440;100;93;10
25908;2;77;2;67;0;1300;1;1;0;1300;97;83;55
25912;1;64;1;57;1;1310;1;1;0;1310;15;62;43
26004;1;81;1;64;0;1200;2;2;0;2400;65;67;20
26008;1;43;2;79;1;2000;2;2;2;4813;97;90;8
26010;2;85;1;63;0;1100;1;2;0;1100;-;-;10
26012;2;51;2;70;0;1200;2;3;1;5033;89;82;35
26105;2;55;1;33;0;1040;1;2;0;1790;50;25;16
26201;1;44;3;78;1;2500;2;2;0;2500;100;58;35
26202;1;66;1;62;0;1200;2;2;0;2100;69;85;27
26204;1;56;2;74;1;1800;2;2;0;1800;89;77;20
26206;1;65;3;82;0;1500;2;2;0;1500;100;87;25
26210;1;44;3;75;1;2550;1;1;2;2879;100;85;15
26211;2;47;1;53;1;1500;2;4;0;2646;33;23;36
26213;1;53;3;77;1;2700;2;3;0;3418;32;68;21
26302;2;49;3;66;0;1000;2;2;2;5057;100;38;22
26303;2;44;3;69;1;1650;1;1;2;1979;100;83;20
26306;1;74;1;71;0;1670;2;2;0;3340;23;72;45
26307;2;55;2;67;1;1500;2;2;0;3650;97;90;14
26311;1;36;2;83;1;1650;2;2;4;3693;14;80;20
26402;1;50;2;71;1;2200;2;3;1;4514;93;85;24
26407;2;38;2;94;0;1031;1;1;3;1658;15;75;0
26409;1;53;3;72;1;2300;2;3;0;5650;97;75;34
26412;2;83;2;81;0;1300;1;1;0;1300;80;93;4
26413;2;63;1;49;0;1500;1;1;0;1500;32;30;5
26503;1;64;3;63;0;2680;2;2;0;3730;8;13;21
26507;1;55;2;75;1;2800;2;2;0;2800;100;95;2
26512;1;53;1;78;1;2500;1;1;1;2614;100;88;3
26605;1;20;2;73;1;2100;3;4;0;7780;100;85;8
26701;1;44;2;60;1;1800;1;2;0;1918;33;83;50
26702;1;51;1;58;1;2604;1;1;0;2604;90;63;40
26703;2;37;2;34;1;1400;1;1;1;1514;83;38;14
26705;2;56;3;38;1;2530;2;2;0;5130;39;80;28
26706;2;48;2;80;1;2026;1;1;0;2026;100;87;35
26707;1;51;1;66;0;1200;1;1;0;1200;38;58;62
26803;2;63;2;72;0;650;2;2;0;2350;89;88;14
26807;1;46;2;78;1;2500;2;3;1;6633;93;67;6
26810;2;30;3;85;1;1790;2;2;1;3570;97;85;16
26903;1;51;2;65;1;2200;2;2;0;3010;48;68;24
26909;1;73;2;91;0;1500;1;1;0;1500;97;97;19
27002;1;80;1;85;0;1250;2;2;0;1250;0;18;40
27003;2;52;2;69;1;1800;1;1;0;1800;100;83;15
27004;2;36;3;60;1;800;2;2;0;2950;11;68;50
27006;1;50;1;88;0;1250;2;2;0;2000;26;62;42
27007;1;60;3;77;0;2000;2;3;0;2000;76;60;20
27008;1;63;3;63;0;1750;2;2;0;1750;44;58;15
27010;2;65;1;82;0;87;2;2;0;87;12;13;28
27104;2;81;1;52;0;860;1;1;0;860;89;67;35
27105;1;68;2;81;0;1290;2;2;0;1290;93;92;30
27108;1;31;2;68;1;1800;2;2;0;3500;97;88;30
27109;2;39;2;71;1;1680;1;1;2;1993;26;77;20
27204;2;37;3;78;1;1910;1;1;1;2016;89;83;14
27207;1;70;1;93;0;1300;1;1;0;1300;85;85;0
27213;2;27;3;74;1;1700;1;1;1;1790;100;82;10
27304;1;54;2;66;0;1528;1;2;0;1646;60;45;48
27306;1;39;2;80;1;2135;1;1;0;2135;100;98;16
27307;1;42;2;75;1;2500;2;2;2;4749;97;77;3
27308;2;86;2;79;0;1122;1;1;0;1122;59;85;70
27312;2;35;2;54;0;1100;1;1;1;1206;26;28;14
27406;1;28;3;71;1;1580;2;2;0;3290;100;93;49
27408;1;55;2;52;0;1027;1;1;0;1027;45;37;10
27413;1;68;3;56;0;1100;2;2;0;1880;8;58;30
27503;1;44;2;60;1;1200;2;3;2;3014;100;87;39
27507;1;33;2;66;1;10000;1;1;0;10000;87;72;42
27508;1;70;2;76;0;1330;2;2;0;2730;93;93;50
27509;2;72;1;70;0;700;2;2;0;1400;97;90;40
27510;1;45;3;70;1;1250;2;2;3;2860;23;70;8
27512;2;71;1;74;0;1880;2;2;0;3760;56;78;36
27601;2;43;3;65;1;3600;1;1;0;3600;19;77;10
27602;2;75;2;76;0;1100;2;2;0;3300;19;75;40
27605;2;54;2;92;1;1930;-;3;0;4430;89;87;4
27606;1;49;1;72;1;1300;-;3;0;1600;93;53;7
27607;1;28;1;94;1;2000;1;1;0;2000;100;38;20
27608;2;69;1;62;0;1052;1;1;0;1052;18;60;0
27612;2;65;3;64;0;1700;2;2;0;2900;89;68;20
27702;2;23;1;65;1;1410;-;3;0;1410;97;77;30
27707;2;41;3;54;1;10000;-;3;0;10000;97;78;20
27709;2;30;3;74;1;1690;2;2;0;4240;23;72;30
27710;1;60;2;77;0;1690;2;2;0;3610;97;73;30
27806;1;50;2;80;1;2000;2;3;0;3600;16;85;30
27901;2;38;3;64;1;1850;1;1;1;1956;100;95;30
27902;2;39;3;71;1;2320;2;2;2;6033;100;88;15
27904;1;47;1;83;1;1900;1;2;0;3480;100;97;14
27907;1;59;1;71;1;2750;2;3;1;5006;65;85;21
27908;2;83;1;83;0;1080;1;1;0;1080;36;93;28
27912;1;66;1;80;0;1365;1;1;0;1365;93;95;25
28001;2;41;2;92;1;1500;2;2;2;3413;100;88;14
28002;2;67;2;78;0;1400;1;1;0;1400;89;87;4
28004;2;32;3;82;1;4200;2;2;0;6400;100;93;20
28006;1;45;3;69;1;1600;-;2;0;3045;97;85;15
28007;2;32;3;83;1;5000;2;2;1;7390;100;87;10
28010;1;61;1;70;0;1250;1;1;0;1250;87;73;22
28101;1;33;2;63;1;2500;2;2;1;4490;100;75;8
28109;2;37;2;64;1;1750;1;1;2;1750;8;25;20
28209;1;45;2;71;1;2700;2;2;2;4979;100;87;21
28211;2;82;1;46;0;1100;1;2;0;1100;100;50;4
28212;1;45;3;76;1;2720;2;2;2;4047;3;83;20
28303;2;40;3;77;1;2700;2;2;2;3004;23;83;18
28309;2;37;3;54;1;1600;2;2;3;2185;93;55;10
